# Sensor Lundemosen, Greve Strand, Denmark (Citizen Science project sensor.community/78298)
# https://aqicn.org/station/@370306/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2023-09-22T00:00:00.000Z,1.17,8.88,4.05,2.97,5.38,1.978,579
2023-09-23T00:00:00.000Z,1,13.6,2.35,1.9,5.15,2.009,579
2023-09-24T00:00:00.000Z,1.67,5.9,2.2,2.04,2.42,0.394,578
2023-09-25T00:00:00.000Z,1.67,11.55,3.65,2.6,4.37,1.458,572
2023-09-26T00:00:00.000Z,4.2,28.02,10.22,6.68,16.67,5.78,558
2023-09-27T00:00:00.000Z,5.2,43.83,19.88,13.65,27.49,7.612,569
2023-09-28T00:00:00.000Z,3.45,39.6,11.22,4.55,28.64,11.743,580
2023-09-29T00:00:00.000Z,1.8,14.48,4.67,3.9,8.65,3.171,582
2023-09-30T00:00:00.000Z,1.85,6.5,2.7,2.4,3.55,0.775,575
2023-10-01T00:00:00.000Z,1.8,14.77,2.85,2.47,4.44,2.958,557
2023-10-02T00:00:00.000Z,3.88,25.33,12.69,9.8,18.2,5.004,564
2023-10-03T00:00:00.000Z,1.1,38.08,8.85,2.97,18.88,9.854,575
2023-10-04T00:00:00.000Z,2.02,8.73,3.44,2.95,3.85,0.709,574
2023-10-05T00:00:00.000Z,1.6,9.4,2.85,2.38,3.47,1.266,574
2023-10-06T00:00:00.000Z,1.85,9.98,3.42,2.8,4.82,1.842,570
2023-10-07T00:00:00.000Z,0.82,6.93,1.98,1.45,3.22,1.069,563
2023-10-08T00:00:00.000Z,0.85,33.72,1.55,1.23,2.58,2.426,570
2023-10-09T00:00:00.000Z,1.08,12.18,2.4,1.75,5.93,2.362,561
2023-10-10T00:00:00.000Z,1.42,30.02,7.82,4.09,11.05,7.451,550
2023-10-11T00:00:00.000Z,1.08,32.28,5.94,3.04,16.02,8.09,568
2023-10-12T00:00:00.000Z,1.65,6.2,2.54,2.2,3.42,0.831,563
2023-10-13T00:00:00.000Z,1.12,13,5.32,3.35,7.4,2.591,562
2023-10-14T00:00:00.000Z,1.2,3.85,2.25,1.9,2.54,0.453,576
2023-10-15T00:00:00.000Z,1.25,4.22,2.2,1.92,2.47,0.423,581
2023-10-16T00:00:00.000Z,0.85,11.65,1.9,1.6,2.4,1.21,569
2023-10-17T00:00:00.000Z,1.12,13.27,2.25,1.9,2.6,0.715,569
2023-10-18T00:00:00.000Z,0.9,6.95,1.95,1.5,2.29,0.805,564
2023-10-19T00:00:00.000Z,1.2,4.09,1.8,1.58,2.13,0.4,559
2023-10-20T00:00:00.000Z,1.3,5.97,2.08,1.75,2.4,0.554,572
2023-10-21T00:00:00.000Z,1,18,1.98,1.6,3.72,3.243,570
2023-10-22T00:00:00.000Z,1.6,17.55,3.8,2.29,8.3,4.489,579
2023-10-23T00:00:00.000Z,1.2,10.93,2.49,1.92,3.3,1.272,582
2023-10-24T00:00:00.000Z,1.2,6.97,2.8,2.13,3.72,1.19,582
2023-10-25T00:00:00.000Z,1.2,10.63,2.1,1.77,2.52,0.616,584
2023-10-26T00:00:00.000Z,1.23,4.2,2.22,1.9,2.5,0.498,581
2023-10-27T00:00:00.000Z,1.08,7.18,1.8,1.57,2.2,0.535,577
2023-10-28T00:00:00.000Z,1.5,7.7,3.13,2.7,3.53,0.679,585
2023-10-29T00:00:00.000Z,1.6,11.98,3.47,2.6,5,2.209,579
2023-10-30T00:00:00.000Z,1.4,8.1,2.67,2.29,3.17,0.716,580
2023-10-31T00:00:00.000Z,1.08,8.25,2.04,1.55,4.76,1.766,581
2023-11-01T00:00:00.000Z,0.95,7.78,1.83,1.52,3.15,1.595,568
2023-11-02T00:00:00.000Z,2.52,12.9,3.8,3.33,4.97,2.656,568
2023-11-03T00:00:00.000Z,1.4,15.95,4.09,2.47,10.67,4.623,576
2023-11-04T00:00:00.000Z,1.67,7.7,3.42,2.35,5.37,1.646,561
2023-11-05T00:00:00.000Z,2.04,10.52,3.67,3.22,4.76,1.257,568
2023-11-06T00:00:00.000Z,1.4,13.27,3.81,2.45,7.8,3.171,570
2023-11-07T00:00:00.000Z,1.63,11.98,5.07,4,6,1.711,565
2023-11-08T00:00:00.000Z,1.27,10.93,5.57,2.2,7.32,2.796,566
2023-11-09T00:00:00.000Z,1.65,8.05,3.4,2.75,4.09,1.288,530
2023-11-10T00:00:00.000Z,1.2,8.5,3.65,2.9,4.34,1.265,555
2023-11-11T00:00:00.000Z,1.55,19.14,2.85,2.5,6.5,3.163,567
2023-11-12T00:00:00.000Z,1.4,13.98,4.03,2.52,5.57,2.136,345
2023-11-13T00:00:00.000Z,1.2,15.8,4.01,3.3,5.65,2.4,566
2023-11-14T00:00:00.000Z,1.27,7.6,2.64,2.1,3.05,0.673,574
2023-11-15T00:00:00.000Z,1.1,6.28,2,1.6,2.72,0.832,572
2023-11-16T00:00:00.000Z,1.05,5.45,1.65,1.45,1.88,0.408,575
